date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group,lifeStage,identificationQualifier,identificationRemark
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Chaetoceros seiracanthus,320,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Chaetoceros similis,120,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Cylindrotheca closterium,760,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Paralia sulcata,520,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Pseudo-nitzschia delicatissima,120,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Pseudo-nitzschia multiseries,80,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Pseudo-nitzschia seriata,40,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Rhizosolenia setigera,2280,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Thalassionema nitzschioides,160,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Thalassiosira ,320,Bacillariophyta,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Protozoa ,10500,Chlorophyta-Prasinophyta,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Choanozoa,10500,Choanoflagellata,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dinobryon ,40,Chrysophyta,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Myronecta rubra,200,Ciliophora,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Hillea ,38500,Cryptophyta,NA,sp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Teleaulax ,8750,Cryptophyta,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dictyocha speculum,320,Dictyochophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dictyocha ,160,Dictyochophyta,spores,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dinophysis acuminata,40,Dinoflagellata,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Gymnodinium ,160,Dinoflagellata,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Gyrodinium ,120,Dinoflagellata,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dinophyceae ,40,Dinoflagellata,resting spores,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Dinophyceae,40,Dinoflagellata,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Protozoa ,1750,Dinoflagellata,NA,NA,Cells too small to identify. Showed equatorial groove and could be Dinophyceae
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Euglenozoa,40,Euglenophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Protozoa,89250,Unknown flagellae-bearing cells,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Pennales,160,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Skeletonema marinoi,600,Bacillariophyta,NA,NA,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Chaetoceros ,40,Bacillariophyta,NA,spp. Indet.,NA
2018-01-10,2018-01-10T17:40:04Z,CPHY404,5,CALVERT,QCS01,51.705,-128.2384,200,TRUE,Oligotrichea,520,Ciliophora,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chetoceros debilis,592,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros laciniosus,518,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros  ,222,Bacillariophyta,resting spores,spp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Cylindrotheca closterium,2368,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dactyliosolen fragilissimus,296,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Licmophora ,74,Bacillariophyta,NA,spp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pseudo-nitzschia delicatissima,148,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassionema nitzschioides,370,Bacillariophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassiosira ,1118,Bacillariophyta,NA,spp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pyramimonas grossii,7778,Chlorophyta-Prasinophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pyramimonas orientalis,27223,Chlorophyta-Prasinophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Tetraselmis gracilis,7778,Chlorophyta-Prasinophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Protozoa ,62224,Chlorophyta-Prasinophyta,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Monosiga marina,42779,Choanoflagellata,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Choanozoa,105003,Choanoflagellata,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Apidinella spinifera,3889,Chrysophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chrysochromulina ,7778,Prymnesiophyta-Haptophyta,NA,spp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Myronecta rubra,2442,Ciliophora,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Hillea ,42779,Cryptophyta,NA,sp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Teleaulax acuta,3889,Cryptophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Teleaulax amphioxiae,3889,Cryptophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Teleaulax ,46668,Cryptophyta,NA,spp. Indet.,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Cyanobacteria,7778,NA,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dictyocha speculum,74,Dictyochophyta,NA,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dictyocha ,296,Dictyochophyta,spores,NA,NA
2018-03-24,2018-03-24T17:30:48Z,CPHY414,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Gymnodinium ,2368,Dinoflagellata,NA,spp. Indet.,NA
