date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros cinctus,120,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros similis,120,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros tenuissimus,3500,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Cylindrotheca closterium,80,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Ditylum brightwellii,40,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Thalassiosira spp.,200,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Pennales,240,Bacillariophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",8750,Chlorophyta-Prasinophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Myronecta rubra,280,Ciliophora
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Tintinnina,40,Ciliophora
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Teleaulax spp.,12250,Cryptophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Dictyocha speculum,80,Dictyochophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Dictyocha spore forms,40,Dictyochophyta
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Ceratium lineatum,40,Dinoflagellata
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Dinophysis fortii,40,Dinoflagellata
2021-01-12,2021-01-12T20:11:38Z,CPHY542,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Gymnodinium spp.,160,Dinoflagellata
