date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group,lifeStage,identificationQualifier,identificationRemark
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Ceratulina pelagica,89,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Chaetoceros ceratosporus,356,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Chaetoceros danicus,89,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Chetoceros debilis,16020,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Chaetoceros similis,267,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Chaetoceros ,1157,Bacillariophyta,NA,spp. Indet.,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Corethron criophillum,178,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Cylindrotheca closterium,6230,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Dactyliosolen fragilissimus,48827,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Dactyliosolen phuketensis,10858,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Ditylum brightwellii,178,Bacillariophyta,NA,NA,NA
2021-02-17,2021-02-17T18:09:00Z,QPHY1462,5,QUADRA,TO4A,50.4264400000001,-124.51479,250,TRUE,Eucampia groenlandica,89,Bacillariophyta,NA,NA,NA
