action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,mesh_size__um_,net_dim___cm_,net_length__cm_,line_out_depth,pressure_transducer_depth,sample_style,volume,lugols,collected,preserved,analyzed,lab_technician,analyzing_lab,row_flag,quality_level,comments,quality_log
,416,1,2015-03-18,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,,10,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,Kate;Katie;Rebecca,,Collected,Raw,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m
,416,1,2015-03-18,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,,11,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,Kate;Katie;Rebecca,,Collected,Raw,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m
,416,1,2015-03-18,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,,12,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,Kate;Katie;Rebecca,,Collected,Raw,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,,QPHY13,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,Rebecca;Other,,Collected,Raw,,
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,,QPHY14,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,Rebecca;Other,,Submitted,Raw,,1: Sent to Microthalassia at VIU
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,,QPHY15,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,Rebecca;Other,,Collected,Raw,,
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,,QPHY16,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,Rebecca;Other,,Collected,Raw,,
,531,1,2015-03-31,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY17,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,Katie;Other,,Collected,Raw,,1: Ctd only dropped to 165m
,531,1,2015-03-31,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY18,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,Katie;Other,,Submitted,Raw,,1: Ctd only dropped to 165m2: Sent to Microthalassia at VIU
,531,1,2015-03-31,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY19,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,Katie;Other,,Collected,Raw,,1: Ctd only dropped to 165m
,531,1,2015-03-31,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY20,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,Katie;Other,,Collected,Raw,,1: Ctd only dropped to 165m
,621,1,2015-04-03,CALVERT,HAKAI,KWAK_PP;PP;KWAK,1,PRUTH,,CPHY1,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,false,2015-04-03T17:51:04.000Z,2015-04-03T21:44:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: Deployment time: 11:553: Sample disposed of; too old4: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,621,1,2015-04-03,CALVERT,HAKAI,KWAK_PP;PP;KWAK,1,PRUTH,,CPHY2,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,false,2015-04-03T17:51:04.000Z,2015-04-03T21:44:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: Deployment time: 11:553: Sample disposed of; too old4: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,621,1,2015-04-03,CALVERT,HAKAI,KWAK_PP;PP;KWAK,1,PRUTH,,CPHY3,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,false,2015-04-03T17:51:04.000Z,2015-04-03T21:44:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: Deployment time: 11:553: Sample disposed of; too old4: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,621,1,2015-04-03,CALVERT,HAKAI,KWAK_PP;PP;KWAK,1,PRUTH,,CPHY4,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,false,2015-04-03T17:51:04.000Z,2015-04-03T21:44:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: Deployment time: 11:553: Sample disposed of; too old4: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,614,1,2015-04-06,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY21,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,Leo;Rebecca;Other,,Collected,Raw,,
,614,1,2015-04-06,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY22,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,Leo;Rebecca;Other,,Submitted,Raw,,1: Sent to Microthalassia at VIU
,614,1,2015-04-06,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY23,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,Leo;Rebecca;Other,,Collected,Raw,,
,614,1,2015-04-06,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY24,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,Leo;Rebecca;Other,,Collected,Raw,,
,679,1,2015-04-08,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY7,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,false,2015-04-08T17:41:09.000Z,2015-04-08T22:28:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,679,1,2015-04-08,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY8,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,false,2015-04-08T17:41:09.000Z,2015-04-08T22:28:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: Sample disposed of; too old3: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,679,1,2015-04-08,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY9,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,false,2015-04-08T17:41:09.000Z,2015-04-08T22:28:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,679,1,2015-04-08,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY10,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,false,2015-04-08T17:41:09.000Z,2015-04-08T22:28:26.000Z,,,,Not Available,Technicianm,,1: Checked by Emma2: used formalin as we did not have lougol solution yet. (the same formalin concentration as zooplankton)
,890,1,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY25,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,Kate;Katie,,Results,Raw,,1: Sent to Microthalassia at VIU
,890,1,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY26,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,Kate;Katie,,Results,Raw,,1: Sent to Microthalassia at VIU
,890,1,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY27,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,Kate;Katie,,Results,Raw,,1: Sent to Microthalassia at VIU
,890,1,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,,QPHY28,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,Kate;Katie,,Results,Raw,,1: Sent to Microthalassia at VIU
,923,1,2015-04-26,CALVERT,HAKAI,PP;KWAK_PP;KWAK,1,PRUTH,,CPHY5,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,true,2015-04-26T17:00:35.000Z,2015-04-26T20:01:59.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,923,1,2015-04-26,CALVERT,HAKAI,PP;KWAK_PP;KWAK,1,PRUTH,,CPHY6,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,true,2015-04-26T17:00:35.000Z,2015-04-26T20:01:59.000Z,,,,Results,Technicianm,,1: Checked by Emma
,923,1,2015-04-26,CALVERT,HAKAI,PP;KWAK_PP;KWAK,1,PRUTH,,CPHY11,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,true,2015-04-26T17:00:35.000Z,2015-04-26T20:01:59.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,923,1,2015-04-26,CALVERT,HAKAI,PP;KWAK_PP;KWAK,1,PRUTH,,CPHY12,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,true,2015-04-26T17:00:35.000Z,2015-04-26T20:01:59.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1092,1,2015-05-01,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY13,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,true,2015-05-01T17:17:25.000Z,2015-05-01T22:42:36.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1092,1,2015-05-01,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY14,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,true,2015-05-01T17:17:25.000Z,2015-05-01T22:42:36.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1092,1,2015-05-01,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY15,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,true,2015-05-01T17:17:25.000Z,2015-05-01T22:42:36.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1092,1,2015-05-01,CALVERT,HAKAI,KWAK;PP;KWAK_PP,1,PRUTH,,CPHY16,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,true,2015-05-01T17:17:25.000Z,2015-05-01T22:42:36.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1077,1,2015-05-01,QUADRA,HAKAI,QOMA1;QOMA2,1,QU39,,QPHY33,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,Kate;Katie;Other,,Collected,Raw,,
,1077,1,2015-05-01,QUADRA,HAKAI,QOMA1;QOMA2,1,QU39,,QPHY34,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,Kate;Katie;Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1077,1,2015-05-01,QUADRA,HAKAI,QOMA1;QOMA2,1,QU39,,QPHY35,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,Kate;Katie;Other,,Collected,Raw,,1: Sample collected from separate niskin
,1077,1,2015-05-01,QUADRA,HAKAI,QOMA1;QOMA2,1,QU39,,QPHY36,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,Kate;Katie;Other,,Collected,Raw,,
,1134,1,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,,QPHY37,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,200,true,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,Other,,Submitted,Raw,,1: Sent to Microthalassia at VIU
,1134,1,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,,QPHY38,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,200,true,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1134,1,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,,QPHY39,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,200,true,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,Other,,Collected,Raw,,
,1134,1,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,,QPHY40,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,200,true,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,Other,,Collected,Raw,,
,1273,1,2015-05-15,CALVERT,HAKAI,PP;KWAK_PP,1,PRUTH,,CPHY17,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,true,2015-05-15T16:23:02.000Z,2015-05-15T20:23:48.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1273,1,2015-05-15,CALVERT,HAKAI,PP;KWAK_PP,1,PRUTH,,CPHY18,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,true,2015-05-15T16:23:02.000Z,2015-05-15T20:23:48.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1273,1,2015-05-15,CALVERT,HAKAI,PP;KWAK_PP,1,PRUTH,,CPHY19,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,true,2015-05-15T16:23:02.000Z,2015-05-15T20:23:48.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1273,1,2015-05-15,CALVERT,HAKAI,PP;KWAK_PP,1,PRUTH,,CPHY20,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,true,2015-05-15T16:23:02.000Z,2015-05-15T20:23:48.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1325,1,2015-05-17,JOHNSTONE STRAIT,HAKAI,JSPP,1,JS2,,JSPHY1,M,50.5480000000001,-126.696,50.548086,-126.69588,,,,0,,Grab Sample,200,true,2015-05-17T15:31:59.000Z,2015-05-18T02:11:12.000Z,,Mack Bartlett,,Collected,Technicianm,,1: 146 minutes after sunrise.;Actual gather time 8:26am2: Meta data checked by BK.
,1325,1,2015-05-17,JOHNSTONE STRAIT,HAKAI,JSPP,1,JS2,,JSPHY2,M,50.5480000000001,-126.696,50.548086,-126.69588,,,,5,,Grab Sample,200,true,2015-05-17T15:31:59.000Z,2015-05-18T02:11:12.000Z,,Mack Bartlett,,Collected,Technicianm,,1: 146 minutes after sunrise.;Actual gather time 8:26am2: Meta data checked by BK.
,1325,1,2015-05-17,JOHNSTONE STRAIT,HAKAI,JSPP,1,JS2,,JSPHY3,M,50.5480000000001,-126.696,50.548086,-126.69588,,,,10,,Grab Sample,200,true,2015-05-17T15:31:59.000Z,2015-05-18T02:11:12.000Z,,Mack Bartlett,,Collected,Technicianm,,1: 146 minutes after sunrise.;Actual gather time 8:26am2: Meta data checked by BK.
,1325,1,2015-05-17,JOHNSTONE STRAIT,HAKAI,JSPP,1,JS2,,JSPHY4,M,50.5480000000001,-126.696,50.548086,-126.69588,,,,30,,Grab Sample,200,true,2015-05-17T15:31:59.000Z,2015-05-18T02:11:12.000Z,,Mack Bartlett,,Collected,Technicianm,,1: 146 minutes after sunrise.;Actual gather time 8:26am2: Meta data checked by BK.
,1325,1,2015-05-17,JOHNSTONE STRAIT,HAKAI,JSPP,1,JS2,,JSPHY5,M,50.5480000000001,-126.696,50.548086,-126.69588,,,,50,,Grab Sample,200,true,2015-05-17T15:31:59.000Z,2015-05-18T02:11:12.000Z,,Mack Bartlett,,Collected,Technicianm,,1: 146 minutes after sunrise.;Actual gather time 8:26am2: Meta data checked by BK.
,1337,1,2015-05-20,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY21,M,51.6554,-128.0913,,,,,,0,,Grab Sample,250,true,2015-05-20T15:15:04.000Z,2015-05-20T20:10:12.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1337,1,2015-05-20,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY22,M,51.6554,-128.0913,,,,,,5,,Grab Sample,250,true,2015-05-20T15:15:04.000Z,2015-05-20T20:10:12.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1337,1,2015-05-20,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY23,M,51.6554,-128.0913,,,,,,10,,Grab Sample,250,true,2015-05-20T15:15:04.000Z,2015-05-20T20:10:12.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1337,1,2015-05-20,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY24,M,51.6554,-128.0913,,,,,,30,,Grab Sample,250,true,2015-05-20T15:15:04.000Z,2015-05-20T20:10:12.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1341,1,2015-05-21,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY45,M,50.0307000000001,-125.0992,,,,,,0,,Grab Sample,250,true,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,Katie;Rebecca;Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1341,1,2015-05-21,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY46,M,50.0307000000001,-125.0992,,,,,,5,,Grab Sample,250,true,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,Katie;Rebecca;Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1341,1,2015-05-21,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY47,M,50.0307000000001,-125.0992,,,,,,10,,Grab Sample,250,true,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,Katie;Rebecca;Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1341,1,2015-05-21,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,,QPHY48,M,50.0307000000001,-125.0992,,,,,,30,,Grab Sample,250,true,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,Katie;Rebecca;Other,,Results,Raw,,1: Sent to Microthalassia at VIU
,1495,1,2015-05-25,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY25,M,51.6554,-128.0913,51.6559010837227,-127.828074842691,,,,0,,Grab Sample,250,true,2015-05-25T16:16:49.000Z,2015-05-25T23:56:15.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1495,1,2015-05-25,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY26,M,51.6554,-128.0913,51.6559010837227,-127.828074842691,,,,5,,Grab Sample,250,true,2015-05-25T16:16:49.000Z,2015-05-25T23:56:15.000Z,,,,Results,Technicianm,,1: Checked by Emma
,1495,1,2015-05-25,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY27,M,51.6554,-128.0913,51.6559010837227,-127.828074842691,,,,10,,Grab Sample,250,true,2015-05-25T16:16:49.000Z,2015-05-25T23:56:15.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
,1495,1,2015-05-25,CALVERT,HAKAI,KWAK_PP;PP,1,PRUTH,,CPHY28,M,51.6554,-128.0913,51.6559010837227,-127.828074842691,,,,30,,Grab Sample,250,true,2015-05-25T16:16:49.000Z,2015-05-25T23:56:15.000Z,,,,Not Available,Technicianm,,1: Checked by Emma
